iter,frames,mean_reward,loss_total,loss_policy,loss_value
1,3200,0.04938950389623642,-0.302440187210838,-0.07514453338614355,0.03233423462758462
2,6400,0.0500163696706295,-0.2964651182293892,-0.06967058371907721,0.03177469904379298
3,9600,0.05008595436811447,-0.307828967894117,-0.07803038880228996,0.02897297781892121
4,12800,0.047773100435733795,-0.3207910848160585,-0.07744970800510297,0.01495693262356023
5,16000,0.05098280310630798,-0.27451159469783304,-0.04937126416092118,0.033356578283322356
6,19200,0.04939357936382294,-0.3240506909787655,-0.08039579831529409,0.014160930167417974
7,22400,0.047391653060913086,-0.3242105423162381,-0.07808650884156426,0.010482579322221379
8,25600,0.05034126713871956,-0.32031827854613465,-0.08041465917679792,0.017256170821686585
9,28800,0.049258265644311905,-0.31555057466030123,-0.07350101495588508,0.013510910309075067
10,32000,0.050356484949588776,-0.31723026459415754,-0.0753373674970741,0.014351819176226854
11,35200,0.04978649318218231,-0.30467647723853586,-0.06165739611412088,0.01339291228990381
12,38400,0.04968258738517761,-0.3094055554519097,-0.0691197908250615,0.01559544278231139
13,41600,0.04973916709423065,-0.3071557336797317,-0.06707841962343082,0.014429309669261177
14,44800,0.05232880264520645,-0.30059679684539636,-0.05989520546669761,0.013724877580534667
15,48000,0.05071733891963959,-0.31862448615332445,-0.07310159843570242,0.010354794864542782
16,51200,0.04818068444728851,-0.31196770494182907,-0.06698616001134118,0.00985687886714004
17,54400,0.05060712993144989,-0.29291919444998105,-0.05242843655093263,0.013498610355115185
18,57600,0.04779711365699768,-0.3144847132265568,-0.07208605650812387,0.011749441681119303
19,60800,0.049559690058231354,-0.29973557392756145,-0.060907579737249765,0.015185624042836328
20,64000,0.048250094056129456,-0.3293766427785158,-0.0819172093567128,0.007622905867174267
21,67200,0.04866090416908264,-0.3078236707796653,-0.06453614013735205,0.011653487000148743
22,70400,0.0486379899084568,-0.3206989423682292,-0.07385633560673645,0.008135986178725336
23,73600,0.05118062347173691,-0.2930293989678224,-0.05463955881035266,0.015620312428412338
24,76800,0.0490005686879158,-0.3220642394075791,-0.07667007904965431,0.008739739945546414
25,80000,0.04932285472750664,-0.3087590242425601,-0.06312091718815888,0.007173172696881617
26,83200,0.04840254411101341,-0.31897002942860125,-0.07266023833847915,0.007612541830167174
27,86400,0.051939159631729126,-0.30597115444640316,-0.06684686533020189,0.012271146138664335
28,89600,0.04737234115600586,-0.2891949135810137,-0.05184540122669811,0.014184518695886557
29,92800,0.048448629677295685,-0.31454615977903205,-0.07275733559314783,0.010490679969855895
30,96000,0.04857618734240532,-0.30116419730087124,-0.05783427552669309,0.008566310798050836
31,99200,0.04737882316112518,-0.31982719898223877,-0.07490177239136149,0.0066663840824427705
32,102400,0.04902787134051323,-0.311488297705849,-0.06803251872188412,0.007390566575728978
33,105600,0.050953641533851624,-0.30888528265058995,-0.06902550605203335,0.010599482049777483
34,108800,0.050648584961891174,-0.3010074815402428,-0.06250670539448037,0.012714310471589366
35,112000,0.04892067611217499,-0.29687948984404405,-0.05404500486329198,0.008179659898936128
36,115200,0.049573756754398346,-0.29302849297722183,-0.052948033825183906,0.010510893620084972
37,118400,0.050666794180870056,-0.32776836392780145,-0.08279119602714975,0.006928244659987589
38,121600,0.04983853921294212,-0.30765568738182386,-0.0662004128486539,0.008971087203826755
39,124800,0.04987699165940285,-0.32532117106020453,-0.08033696736286705,0.004957557211552436
40,128000,0.04985923320055008,-0.3009531065821648,-0.06253710361973693,0.01153942475405832
41,131200,0.05160113796591759,-0.3087214885900418,-0.06964069143092881,0.010603244967448215
42,134400,0.05681280791759491,-0.2599777698516846,-0.04710539615480229,0.03601922245385746
43,137600,0.05094949156045914,-0.30214465980728467,-0.07009617956743265,0.016900638851802798
44,140800,0.04910358786582947,-0.3231257811188698,-0.08139861912156145,0.007151005983663102
45,144000,0.055075034499168396,-0.2683116634686788,-0.04877680903300643,0.030351531109772623
46,147200,0.05180084705352783,-0.30910028889775276,-0.07683477002040794,0.01570534404600039
47,150400,0.04827139526605606,-0.31020890722672145,-0.07054701087763533,0.009606385182511683
