iter,mean_reward,loss_total
1,1.1927536725997925,9.340732678771019
2,1.2850701808929443,12.111353534460068
3,1.2600324153900146,11.075618505477905
4,1.1966651678085327,9.309896209836007
5,1.2450289726257324,9.283990406990052
6,1.2456669807434082,8.49768162071705
7,1.232492446899414,7.658206334710121
8,1.2502628564834595,7.235211959481239
9,1.2021164894104004,5.8646681472659115
10,1.2178559303283691,5.731629025936127
11,1.187095284461975,4.648711828887462
12,1.200679898262024,4.0641933038830755
13,1.2697116136550903,4.412901888787746
14,1.1742825508117676,3.5036381036043167
15,1.304194450378418,4.074035839736462
16,1.195521354675293,3.348899373412132
17,1.2672758102416992,3.4207794815301895
18,1.2467879056930542,3.2156728133559227
19,1.2138408422470093,2.3407870762050154
20,1.256945013999939,1.9391676314175128
21,1.236839771270752,1.9235939681529999
22,1.2122288942337036,1.5132008489221334
23,1.22249436378479,1.5528998710215092
24,1.271522879600525,1.7258354775607585
25,1.2140945196151733,1.4085160776972772
26,1.2672066688537598,1.6393012929707766
27,1.2673014402389526,1.4208688784390688
28,1.1981979608535767,1.3381581462919712
29,1.2414590120315552,1.4641175959259272
30,1.190020203590393,1.4171672374010087
31,1.2539279460906982,1.427705334685743
32,1.1713552474975586,1.4369291335344314
33,1.2450010776519775,1.4796548575162887
34,1.224321961402893,1.2985983289778233
35,1.1743531227111816,1.4848856169730424
36,1.2533867359161377,1.2634069826453924
37,1.2133046388626099,1.3925437364727258
38,1.2996208667755127,1.05745355989784
39,1.2063815593719482,1.1028656413778664
40,1.2373132705688477,1.0828480580821633
41,1.225804328918457,1.1114369712769985
42,1.243770956993103,1.0891031090170145
43,1.2136383056640625,1.2411751843988896
44,1.2529245615005493,1.2049850665032864
45,1.2241500616073608,1.2903254196047782
46,1.2532734870910645,1.1948280569165945
47,1.2284585237503052,1.1712635217234493
48,1.2766201496124268,1.1138340704143048
49,1.2101850509643555,1.2217471085488796
50,1.2359962463378906,0.9391212433576583
51,1.1945322751998901,1.0394031893461944
52,1.2852269411087036,0.8254779933020473
53,1.2545896768569946,0.9255585331469774
54,1.2161343097686768,0.9438097760081291
55,1.2868045568466187,1.0111457156017423
56,1.2855687141418457,1.0131189236417413
57,1.2643835544586182,0.9901959842070938
58,1.1992428302764893,1.0586417282000185
59,1.2644665241241455,1.0583252020180225
60,1.2011587619781494,1.015823081508279
61,1.2126545906066895,1.113504457473755
62,1.1880524158477783,1.0623178446665407
63,1.227759599685669,1.1159201599657536
64,1.1993520259857178,1.0650213204324246
65,1.244164228439331,1.1015729749575258
66,1.208204984664917,0.9453927721828222
67,1.180559515953064,0.9560979763045907
68,1.2359216213226318,1.0188032092526556
69,1.257561445236206,0.8552041441202164
70,1.2447870969772339,0.9014095290564
71,1.219963550567627,1.0771309345960618
72,1.2341300249099731,0.9485666146501899
73,1.1580524444580078,0.9302643369883299
74,1.2327673435211182,0.9632577151060104
75,1.253580093383789,1.0414392720907926
76,1.2454943656921387,1.111630037613213
77,1.2354942560195923,0.9551649060100317
78,1.2052028179168701,1.0036802641116083
79,1.208017349243164,0.7620325103402138
80,1.2295037508010864,0.9520417658612133
81,1.2183623313903809,0.7872340248897671
82,1.2458730936050415,0.9454061241820455
83,1.2496569156646729,0.8739978468045593
84,1.2035210132598877,0.9955760778859257
85,1.2508918046951294,0.9144755016081035
86,1.2126247882843018,0.9961401000618935
87,1.2197400331497192,1.0552785874344408
88,1.2477415800094604,0.8754450531676412
89,1.267702579498291,0.9190335153602064
90,1.2105133533477783,0.9056172016076743
91,1.264235258102417,0.9484405215829611
92,1.1829214096069336,0.8480457494966686
93,1.1712011098861694,1.0265870105475188
94,1.2489444017410278,1.021804730221629
95,1.2529340982437134,0.9065878885798156
96,1.2386069297790527,0.952289298735559
97,1.1768015623092651,0.9892441187053919
98,1.21725594997406,0.9358819650486112
