iter,mean_reward,loss_total
1,0.5157821774482727,2.3081179216504095
2,0.5258684158325195,1.8092196144163608
3,0.5608731508255005,1.8611069731414318
4,0.6225255131721497,1.8895643264055253
5,0.6570815443992615,2.002134246379137
6,0.7001477479934692,1.7915599845349788
7,0.7240885496139526,1.8198552861809731
8,0.7833465337753296,1.697508119791746
9,0.8066620826721191,1.6074047259986401
10,0.8243511915206909,1.4556030303239822
11,0.8728744983673096,1.7424073204398156
12,0.8958559036254883,1.5266652956604958
13,0.9153928160667419,1.241051569953561
14,0.921748697757721,1.5128642305731774
15,0.9310894012451172,1.458383174240589
16,0.9596349000930786,1.2424800392240285
17,0.9617094993591309,1.0167910784482956
18,1.0043885707855225,1.124514042213559
19,1.0026224851608276,0.9259718645364046
20,0.9996932744979858,0.9026541970670223
21,1.0436651706695557,0.926733898371458
22,1.0303047895431519,0.9361183863133192
23,1.0476096868515015,0.9843304198235273
24,1.0790196657180786,1.0174407195299864
25,1.0850096940994263,0.9064025703817606
26,1.1272411346435547,0.8806279715150594
27,1.116491675376892,0.8312737226486206
28,1.138021469116211,0.7889109432697297
29,1.1626979112625122,0.696126882173121
30,1.168616771697998,0.6916719552129507
31,1.1897327899932861,0.7341605802997947
32,1.1968369483947754,0.6845845116302371
33,1.2116456031799316,0.6958713963627815
34,1.2324409484863281,0.7261848211288452
35,1.251286506652832,0.714981216005981
36,1.2595837116241455,0.6115609716624022
37,1.2695608139038086,0.520741656050086
38,1.2841564416885376,0.5506734184920787
39,1.3013372421264648,0.5433116413652896
40,1.3068268299102783,0.4693045649677515
41,1.3327617645263672,0.5207117600366473
42,1.336268424987793,0.5436138739809394
43,1.3497967720031738,0.4666571406647563
44,1.3613786697387695,0.4545373705215752
45,1.379495620727539,0.4464855995029211
46,1.392304539680481,0.44481981415301564
47,1.3986502885818481,0.4102294077165425
48,1.41909921169281,0.40630932366475464
49,1.4291090965270996,0.4119992471300066
1,0.5157821774482727,2.3081179216504095
2,0.5258684158325195,1.8092196144163608
3,0.5608731508255005,1.8611069731414318
4,0.6225255131721497,1.8895643264055253
5,0.6570815443992615,2.002134246379137
6,0.7001477479934692,1.7915599845349788
7,0.7240885496139526,1.8198552861809731
8,0.7833465337753296,1.697508119791746
9,0.8066620826721191,1.6074047259986401
10,0.8243511915206909,1.4556030303239822
11,0.8728744983673096,1.7424073204398156
12,0.8958559036254883,1.5266652956604958
