iter,frames,mean_reward,loss_total,loss_policy,loss_value
1,4096,0.49094223976135254,1.7932055743411184,-0.11587455227854662,2.0701932778581975
2,8192,0.49674153327941895,0.20843296428211033,-0.10810266609187238,0.47737599266693
3,12288,0.49804702401161194,-0.06537141250446439,-0.11210325597203337,0.20755727821961045
4,16384,0.5102888345718384,-0.08202414559200406,-0.11629764114622958,0.19479828430339693
5,20480,0.5209733247756958,-0.10194502351805568,-0.1153511978161987,0.17378003345802426
6,24576,0.5296711921691895,-0.10731601282022893,-0.1159673604008276,0.1688594388309866
7,28672,0.5439427495002747,-0.12917358288541436,-0.1158555235771928,0.14672515648417175
8,32768,0.5531343817710876,-0.1399599582888186,-0.11460176630353089,0.1343905938323587
9,36864,0.5644495487213135,-0.15729173505678773,-0.11516206848900765,0.1172586252912879
10,40960,0.5762030482292175,-0.14598808605223895,-0.11615127588447649,0.12941052671521902
11,45056,0.5907251834869385,-0.16420155223459004,-0.11500541245331988,0.10970294889993966
12,49152,0.6044090986251831,-0.17105060960166157,-0.11680962067330256,0.10426042606122791
13,53248,0.613410472869873,-0.1658041024580598,-0.11403387688915245,0.10625231191515923
14,57344,0.6290574073791504,-0.16112710935994984,-0.11324593446333893,0.10973947714082896
15,61440,0.6367762684822083,-0.18082300634123386,-0.113506655220408,0.08950590477325022
16,65536,0.6518303751945496,-0.16479567252099514,-0.11246896060183645,0.10359580391086638
17,69632,0.6647087931632996,-0.17062765466980637,-0.11173240355565213,0.09610461997799576
18,73728,0.677035391330719,-0.15536919008009137,-0.1107955600717105,0.109360624384135
19,77824,0.6894873380661011,-0.1727689068764448,-0.11050677833845839,0.09077773867174983
20,81920,0.7024224996566772,-0.17408928400836884,-0.10983963523467537,0.08790254052728415
21,86016,0.7130156755447388,-0.1730589543003589,-0.11114879800879862,0.08926511676982045
22,90112,0.7240593433380127,-0.18605532115325332,-0.11266047251410782,0.0765867982758209
23,94208,0.7403104901313782,-0.16779658966697752,-0.10878533370414516,0.08977005868218839
24,98304,0.7505736351013184,-0.17479439754970372,-0.1083540672698291,0.0811362337321043
25,102400,0.7622584104537964,-0.1729425833094865,-0.10697737464797683,0.08023460856638849
26,106496,0.7765749096870422,-0.16749361734837293,-0.10889507581596262,0.08625286105088889
27,110592,0.7893198132514954,-0.1770174155011773,-0.10671945858048275,0.07303905042354017
28,114688,0.7975320219993591,-0.1766733040101826,-0.10850783344649244,0.07391891132574528
29,118784,0.811317503452301,-0.1699822133872658,-0.10282008333597333,0.0731592813739553
30,122880,0.826553225517273,-0.1640881127677858,-0.1051997468690388,0.07969248238950968
31,126976,0.8372064828872681,-0.16656056558713317,-0.10292260727437678,0.07399675776250661
32,131072,0.8483582735061646,-0.16786754503846169,-0.10287930741906166,0.07094458448700607
33,135168,0.8560338020324707,-0.17250115326605736,-0.10523601242457517,0.06751902941614389
34,139264,0.8651566505432129,-0.16750511541031302,-0.10274352830892894,0.06870109301526099
35,143360,0.8820810914039612,-0.16012319214642048,-0.1023642798041692,0.07396501256152987
36,147456,0.8925665616989136,-0.16684014233760536,-0.10235120957077015,0.06514648883603513
37,151552,0.9079362154006958,-0.16120890784077346,-0.10110353378695436,0.06720784772187471
38,155648,0.9136573076248169,-0.16134806964546441,-0.09988125158124603,0.06503834978211671
39,159744,0.9321727752685547,-0.16465689791366458,-0.10138978352479171,0.059993967250920835
40,163840,0.9454317688941956,-0.15411157254129648,-0.1010668519011233,0.06863043748307973
41,167936,0.9544044733047485,-0.16479439411778002,-0.09890779718989506,0.0533756697550416
42,172032,0.9686540365219116,-0.15492307962849736,-0.10063325692317449,0.06211231956258416
43,176128,0.9824880361557007,-0.15321862176060677,-0.09649790856637992,0.0566122135380283
44,180224,0.9896414279937744,-0.15209728779736906,-0.0965866522397846,0.0563674742821604
45,184320,0.9952273368835449,-0.15495518122334034,-0.09740625380654819,0.05260686646215618
46,188416,1.0093449354171753,-0.14477166801225394,-0.0969011885812506,0.05882601847406477
47,192512,1.0245996713638306,-0.15528504031244666,-0.09430398395634257,0.04262538442853838
48,196608,1.03871488571167,-0.1478156608529389,-0.09351159390935208,0.0459247110877186
49,200704,1.0547895431518555,-0.13625793734099717,-0.08766131764568855,0.047663390566594896
50,204800,1.0657613277435303,-0.1406808630330488,-0.09123385722050444,0.0441417931811884
